Wall time,Step,Value
1765666938.345285,999,3.0816328525543213
1765666996.703097,1999,2.965059280395508
1765667055.1696587,2999,2.852973699569702
1765667113.5519319,3999,2.6609537601470947
1765667171.8636234,4999,2.6147496700286865
1765667230.5814004,5999,2.453183650970459
1765667289.2511957,6999,2.3407015800476074
1765667346.592965,7999,2.3250386714935303
1765667402.797112,8999,2.335897445678711
1765667458.1319466,9999,2.261664628982544
1765667551.314997,10999,2.245943307876587
1765667607.22786,11999,2.208270788192749
1765667662.3574853,12999,2.2105157375335693
1765667717.509152,13999,2.2907629013061523
1765667772.4973733,14999,2.2452282905578613
1765667827.2324188,15999,2.3274142742156982
1765667882.5139031,16999,2.2884392738342285
1765667938.262178,17999,2.264371871948242
1765667993.3650951,18999,2.3280131816864014
1765668048.3079672,19999,2.4173736572265625
1765668138.529905,20999,2.3501291275024414
1765668194.4037216,21999,2.3575570583343506
1765668250.4532073,22999,2.3794243335723877
1765668306.446231,23999,2.3832850456237793
1765668362.3062031,24999,2.413098096847534
1765668418.0108995,25999,2.413642168045044
1765668473.8703418,26999,2.357738971710205
1765668530.0657399,27999,2.350721836090088
1765668585.648531,28999,2.453458070755005
1765668642.4000256,29999,2.448235511779785
1765668707.0196097,30999,2.458010673522949
1765668761.9283273,31999,2.427565097808838
1765668817.730552,32999,2.5030195713043213
1765668872.1687737,33999,2.497363567352295
1765668929.7924285,34999,2.423450469970703
1765668987.3621845,35999,2.5184202194213867
1765669044.9763367,36999,2.4846644401550293
1765669102.7379053,37999,2.4786789417266846
1765669160.0241637,38999,2.5103330612182617
1765669217.8530717,39999,2.46589994430542
1765669312.4330015,40999,2.534242630004883
1765669370.6528132,41999,2.4601364135742188
1765669428.0031464,42999,2.512791633605957
1765669485.0918114,43999,2.4983506202697754
1765669542.4551666,44999,2.5153863430023193
1765669598.8474324,45999,2.5604426860809326
1765669655.1887333,46999,2.4344964027404785
1765669711.0767257,47999,2.567032814025879
1765669766.6736612,48999,2.5028576850891113
1765669822.3931305,49999,2.5211431980133057
1765669909.605512,50999,2.4988338947296143
1765669964.257482,51999,2.4792330265045166
1765670019.5165389,52999,2.55482816696167
1765670074.0787463,53999,2.487389087677002
1765670129.0890164,54999,2.479300022125244
1765670184.115171,55999,2.4463655948638916
1765670237.987389,56999,2.5275063514709473
1765670292.1430063,57999,2.527252435684204
1765670347.2829056,58999,2.4765827655792236
1765670403.507875,59999,2.504882335662842
1765670495.1236756,60999,2.5157363414764404
1765670550.205132,61999,2.489856004714966
1765670606.013993,62999,2.501274824142456
1765670660.7003345,63999,2.479931592941284
1765670716.05038,64999,2.501617431640625
1765670771.975796,65999,2.4842710494995117
1765670827.129868,66999,2.522414445877075
1765670881.5185335,67999,2.516202926635742
1765670936.273699,68999,2.487816333770752
1765670991.2439377,69999,2.5029096603393555
1765671054.124472,70999,2.4896695613861084
1765671107.9200435,71999,2.48873233795166
1765671162.273092,72999,2.468402862548828
1765671216.579239,73999,2.4498493671417236
1765671270.4319334,74999,2.473262071609497
1765671325.3615174,75999,2.384828567504883
1765671380.9522808,76999,2.437434434890747
1765671435.5495212,77999,2.3631842136383057
1765671489.9814236,78999,2.4554147720336914
1765671544.6335394,79999,2.3205270767211914
1765671607.7982552,80999,2.3218202590942383
1765671663.5367212,81999,2.3778772354125977
1765671720.483601,82999,2.399399995803833
1765671776.5281818,83999,2.39054799079895
1765671833.1041427,84999,2.2876930236816406
1765671889.775977,85999,2.3347885608673096
1765671945.1744292,86999,2.2447869777679443
1765672001.0005496,87999,2.1895670890808105
1765672057.8571248,88999,2.2223317623138428
1765672112.935644,89999,2.2012062072753906
1765672204.2373576,90999,2.156471014022827
1765672258.8933194,91999,2.1230063438415527
1765672313.2106838,92999,2.0483505725860596
1765672366.7362988,93999,2.0053372383117676
1765672420.6508992,94999,2.034426689147949
1765672475.430839,95999,2.0216917991638184
1765672529.255064,96999,2.082801103591919
1765672583.6600614,97999,2.089921474456787
1765672638.9692743,98999,2.128387451171875
1765672693.068008,99999,2.0853309631347656
1765672786.0411127,100999,2.108414649963379
1765672842.24797,101999,2.117805242538452
1765672898.3523092,102999,2.24920916557312
1765672954.0011978,103999,2.218165874481201
1765673009.1832044,104999,2.2370779514312744
1765673064.109461,105999,2.1988768577575684
1765673119.124323,106999,2.2031214237213135
1765673174.825415,107999,2.2181332111358643
1765673229.8482206,108999,2.219003677368164
1765673285.1803675,109999,2.2422964572906494
1765673375.3081353,110999,2.209850311279297
1765673429.8105736,111999,2.214055299758911
1765673484.7503426,112999,2.1740641593933105
1765673541.4004445,113999,2.22257661819458
