Wall time,Step,Value
1765768561.749674,999,0.06732241064310074
1765768581.8240445,1999,0.08073031157255173
1765768601.9302619,2999,0.08658094704151154
1765768622.2248933,3999,0.09211298823356628
1765768642.2857773,4999,0.10493206232786179
1765768662.4236178,5999,0.10800543427467346
1765768682.4239113,6999,0.11042201519012451
1765768702.672249,7999,0.10620985925197601
1765768722.9236534,8999,0.11461789906024933
1765768743.153622,9999,0.11782102286815643
1765768763.3594475,10999,0.11856546252965927
1765768783.4868464,11999,0.11826925724744797
1765768807.3494105,12999,0.10950812697410583
1765768827.3542497,13999,0.1103605180978775
1765768847.4597065,14999,0.128657266497612
1765768867.5740254,15999,0.11736943572759628
1765768887.6521351,16999,0.12862500548362732
1765768907.7538543,17999,0.12055936455726624
1765768927.8412695,18999,0.13071982562541962
1765768947.9035938,19999,0.1243460476398468
1765768967.9998791,20999,0.12789368629455566
1765768988.085969,21999,0.14525826275348663
1765769008.2055886,22999,0.13236644864082336
1765769028.3274212,23999,0.13747820258140564
1765769048.443425,24999,0.14410795271396637
1765769072.5731597,25999,0.14309896528720856
1765769092.6346288,26999,0.14601975679397583
1765769112.8095684,27999,0.14554311335086823
1765769132.9429927,28999,0.15516060590744019
1765769153.0001442,29999,0.14681901037693024
1765769173.089234,30999,0.15533952414989471
1765769193.1341112,31999,0.1483120173215866
1765769213.2138374,32999,0.14751461148262024
1765769233.264103,33999,0.13459545373916626
1765769253.356677,34999,0.15352952480316162
1765769273.464199,35999,0.1430060863494873
1765769293.5589037,36999,0.13048037886619568
1765769317.2276657,37999,0.13242076337337494
1765769337.277882,38999,0.13279841840267181
1765769357.3505642,39999,0.1382635235786438
1765769377.4268239,40999,0.12803053855895996
1765769397.5093288,41999,0.14332182705402374
1765769417.6568146,42999,0.1257956475019455
1765769437.7938325,43999,0.1272062212228775
1765769457.8410892,44999,0.12704060971736908
1765769477.9063358,45999,0.1387341469526291
1765769497.9698453,46999,0.13833312690258026
1765769517.9709425,47999,0.13466332852840424
1765769538.049137,48999,0.1422317624092102
1765769558.1292975,49999,0.13980518281459808
1765769582.0393007,50999,0.13743232190608978
1765769602.1102257,51999,0.14289775490760803
1765769622.259534,52999,0.14852109551429749
1765769642.3559487,53999,0.1478102058172226
1765769662.4270287,54999,0.1441802829504013
1765769682.5061479,55999,0.14177177846431732
1765769702.5608494,56999,0.14019687473773956
1765769722.6534786,57999,0.1384403109550476
1765769742.6741526,58999,0.1306101530790329
1765769762.6851628,59999,0.1392301768064499
1765769782.7498114,60999,0.14786596596240997
1765769802.7889814,61999,0.15322212874889374
1765769826.3272102,62999,0.1344902068376541
1765769846.4624999,63999,0.14372095465660095
1765769866.5516872,64999,0.1316639482975006
1765769886.5605962,65999,0.13604654371738434
1765769906.625115,66999,0.13765035569667816
1765769926.63553,67999,0.1313430815935135
1765769946.723528,68999,0.13939902186393738
1765769966.8446496,69999,0.14819689095020294
1765769986.924921,70999,0.137271910905838
1765770007.038649,71999,0.15723153948783875
1765770027.0519829,72999,0.1437867134809494
1765770047.0860398,73999,0.15027552843093872
1765770067.1808438,74999,0.16616888344287872
1765770090.5956187,75999,0.1613880693912506
1765770110.6533778,76999,0.15940344333648682
1765770130.691516,77999,0.16318711638450623
1765770150.7028403,78999,0.15890921652317047
1765770170.7318034,79999,0.16340237855911255
1765770190.7518072,80999,0.16007456183433533
1765770210.8354812,81999,0.16604621708393097
1765770230.9247663,82999,0.1717083901166916
1765770251.0020833,83999,0.16496743261814117
1765770271.159864,84999,0.15592549741268158
1765770291.3032486,85999,0.15129412710666656
1765770311.338508,86999,0.15575703978538513
1765770335.2158003,87999,0.15457019209861755
1765770355.3107572,88999,0.15440601110458374
1765770375.3637266,89999,0.1555536389350891
1765770395.4723444,90999,0.16855232417583466
1765770415.5268388,91999,0.16325707733631134
1765770435.6451395,92999,0.16260336339473724
1765770455.7498567,93999,0.1713479906320572
1765770475.8281403,94999,0.1713220179080963
1765770495.857777,95999,0.16410894691944122
1765770515.90708,96999,0.1737697422504425
1765770535.9751751,97999,0.16270920634269714
1765770556.0792859,98999,0.16276367008686066
1765770576.2035859,99999,0.16920232772827148
1765770600.0692577,100999,0.1605476588010788
1765770620.1551678,101999,0.15670587122440338
1765770640.2559776,102999,0.14917998015880585
1765770660.3441427,103999,0.15043075382709503
1765770680.4459126,104999,0.15566162765026093
1765770700.5271416,105999,0.16094250977039337
1765770720.565617,106999,0.15264593064785004
1765770740.6686268,107999,0.15358349680900574
1765770760.7464955,108999,0.14854341745376587
1765770780.8407288,109999,0.15098914504051208
1765770800.8587406,110999,0.14870017766952515
1765770820.9150133,111999,0.14290037751197815
1765770844.869608,112999,0.15435314178466797
1765770864.9872248,113999,0.16337387263774872
1765770885.0645082,114999,0.1494860202074051
1765770905.1345716,115999,0.14646239578723907
1765770925.2466493,116999,0.16101913154125214
1765770945.3610482,117999,0.14865314960479736
1765770965.4543178,118999,0.15482230484485626
1765770985.551148,119999,0.16078025102615356
1765771005.6176476,120999,0.15392598509788513
1765771025.7275906,121999,0.14371682703495026
1765771045.8960862,122999,0.151894673705101
1765771066.023564,123999,0.1571284383535385
1765771086.085702,124999,0.1574188470840454
1765771109.6612105,125999,0.1537145972251892
1765771129.7284606,126999,0.1575024127960205
1765771149.8413935,127999,0.16138269007205963
1765771169.8836474,128999,0.1554989069700241
1765771189.9555817,129999,0.15434323251247406
1765771210.0753958,130999,0.16448375582695007
1765771230.1898139,131999,0.16778217256069183
1765771250.319011,132999,0.1610206663608551
1765771270.3887584,133999,0.17242570221424103
1765771290.4555113,134999,0.15852558612823486
1765771310.5900443,135999,0.15094129741191864
1765771330.687524,136999,0.14950469136238098
1765771354.668471,137999,0.14460711181163788
1765771374.6702254,138999,0.15634076297283173
1765771394.791584,139999,0.15321174263954163
1765771414.8592734,140999,0.14631491899490356
1765771434.902385,141999,0.15500007569789886
1765771454.9550116,142999,0.15536625683307648
1765771475.079849,143999,0.16338974237442017
1765771495.1204703,144999,0.14586351811885834
1765771515.2428632,145999,0.15470147132873535
1765771535.3040352,146999,0.16199155151844025
1765771555.401318,147999,0.1607716679573059
1765771575.4245417,148999,0.15416821837425232
1765771595.4308465,149999,0.15330851078033447
1765771619.2541192,150999,0.15785115957260132
1765771639.36325,151999,0.13687977194786072
1765771659.464153,152999,0.1478634476661682
1765771679.5515368,153999,0.15938706696033478
1765771699.6508977,154999,0.15910756587982178
1765771719.708002,155999,0.14687980711460114
1765771739.7875597,156999,0.1587626188993454
1765771759.9155977,157999,0.15171504020690918
1765771779.9673986,158999,0.14335128664970398
1765771800.058934,159999,0.16951563954353333
1765771820.1015677,160999,0.15743939578533173
1765771840.2126255,161999,0.1572372317314148
1765771864.0189,162999,0.14152348041534424
1765771884.052161,163999,0.16546392440795898
1765771904.1743739,164999,0.15281322598457336
1765771924.2757502,165999,0.15910694003105164
1765771944.3775184,166999,0.15644878149032593
1765771964.4643676,167999,0.15958742797374725
1765771984.446195,168999,0.16746149957180023
1765772004.5228214,169999,0.16113147139549255
1765772024.5868905,170999,0.15803878009319305
1765772044.725762,171999,0.1489206850528717
1765772064.7979004,172999,0.14865988492965698
1765772084.8758812,173999,0.1505260169506073
1765772104.9319255,174999,0.14727544784545898
1765772129.27757,175999,0.14248254895210266
1765772149.3652925,176999,0.1443144679069519
1765772169.4059982,177999,0.1414126455783844
1765772189.487231,178999,0.14058873057365417
1765772209.5531123,179999,0.14986222982406616
1765772229.6525888,180999,0.14502853155136108
1765772249.739689,181999,0.1417916864156723
1765772269.8311813,182999,0.14048358798027039
1765772289.901012,183999,0.15509654581546783
1765772309.9990127,184999,0.1516457349061966
1765772329.9867928,185999,0.14183548092842102
1765772350.0944612,186999,0.14457783102989197
1765772373.9948072,187999,0.15124215185642242
1765772394.0003083,188999,0.1452278345823288
